id,name,type,frameType,description,level,atk,def,race,attribute,archetype
27744077,Absolute End,Trap Card,trap,Activate only during your opponent's turn. This turn  the attacks from your opponent's monsters become direct attacks.,,,,Normal,,
27553701,Absolute King - Megaplunder,Normal Monster,normal,''The king of dinosaurs that rules over the Earth. Its mighty roar makes its foes tremble in fear!'',6,2000,1500,Dinosaur,EARTH,
60990740,Absolute King Back Jack,Effect Monster,effect,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck  and if it is a Normal Trap  Set it to your field. Otherwise  send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck  then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",1,0,0,Fiend,DARK,
51779204,Absolute Powerforce,Spell Card,spell,"Target 1 ""Red Dragon Archfiend"" you control; if it battles an opponent's monster this turn while you control it  apply these effects until the end of the Damage Step.  ● It gains 1000 ATK.  ● Your opponent cannot activate cards or effects.  ● If it attacks a Defense Position monster  inflict piercing battle damage to your opponent.  ● Any battle damage your opponent takes from that battle is doubled.",,,,Quick-Play,,Signature move
71422989,Absorb Fusion,Spell Card,spell,"Add 1 ""Gem-Knight"" card from your Deck to your hand  then you can apply this effect. ● Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck  by banishing Fusion Materials listed on it from your hand or your side of the field. You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card  except ""Gem-Knight"" monsters.",,,,Normal,,Gem-
3900605,Absorbing Jar,Flip Effect Monster,effect,FLIP: Destroy all Set Spell/Trap Cards on the field  then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.,3,600,500,Rock,EARTH,
49771608,Absorbing Kid from the Sky,Effect Monster,effect,When this card destroys a monster and sends it to the Graveyard as a result of battle  increase your Life Points by the Level of the destroyed monster x 300 points.,4,1300,1000,Fairy,LIGHT,
67748760,Absorouter Dragon,Effect Monster,effect,"If you control a ""Rokket"" monster  you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",7,1200,2800,Dragon,DARK,Rokket
15308295,Abyss Actor - Comic Relief,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters  then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn. [ Monster Effect ]  You take no battle damage from attacks involving this card. Once per turn  during your Standby Phase: Give control of this card to your opponent. Once per turn  if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",3,1000,2000,Fiend,DARK,Abyss Actor
44179224,Abyss Actor - Curtain Raiser,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel. [ Monster Effect ]  Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",4,1100,1000,Fiend,DARK,Abyss Actor
52240819,Abyss Actor - Evil Heel,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn: You can Tribute 1 ""Abyss Actor"" monster  then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster  until the end of this turn (even if this card leaves the field). [ Monster Effect ]  If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control  until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",8,3000,2000,Fiend,DARK,Abyss Actor
88412339,Abyss Actor - Extras,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn. [ Monster Effect ]  You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone  also for the rest of this turn  you cannot Special Summon monsters  except ""Abyss Actor"" monsters  nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",1,100,100,Fiend,DARK,Abyss Actor
99634927,Abyss Actor - Funky Comedian,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn: You can Tribute 1 ""Abyss Actor"" monster  then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster  until the end of this turn (even if this card leaves the field). [ Monster Effect ]  If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control  until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK  until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",1,300,200,Fiend,DARK,Abyss Actor
2368215,Abyss Actor - Hyper Director,Link Monster,link,"1 ""Abyss Actor"" Pendulum Monster  You can target 1 card in your Pendulum Zone; Special Summon it  then place 1 ""Abyss Actor"" Pendulum Monster with a different name  from your Deck or face-up Extra Deck  to your Pendulum Zone  also you cannot Normal or Special Summon monsters for the rest of this turn  except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn.",,800,,Fiend,DARK,Abyss Actor
24907044,Abyss Actor - Leading Lady,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn  when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects; ● That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field). ● Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took. [ Monster Effect ]  Once per turn  when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle  or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",4,1500,1000,Fiend,DARK,Abyss Actor
65477143,Abyss Actor - Liberty Dramatist,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  When a monster declares an attack: You can discard 1 card; Special Summon this card to your opponent's field. You can only use this effect of ""Abyss Actor - Liberty Dramatist"" once per turn. [ Monster Effect ]  If this card is Special Summoned from the Pendulum Zone: The owner of this card reveals 3 ""Abyss Script"" Spells from their Deck  their opponent randomly picks 1 for this card's owner to Set on their field (but the owner destroys it during the End Phase)  also shuffle the rest into the Deck. If this card is destroyed: You can shuffle 1 ""Abyss Script"" Spell from your GY into the Deck. You can only use each effect of ""Abyss Actor - Liberty Dramatist"" once per turn.",4,1500,1500,Fiend,DARK,Abyss Actor
78310590,Abyss Actor - Mellow Madonna,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  You can pay 1000 LP; add 1 ""Abyss Actor"" Pendulum Monster from your Deck to your hand  except ""Abyss Actor - Mellow Madonna""  also you cannot Special Summon monsters for the rest of this turn  except ""Abyss Actor"" Pendulum Monsters (even if this card leaves the field). You can only use this effect of ""Abyss Actor - Mellow Madonna"" once per turn. [ Monster Effect ]  Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.  ● When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.  ● If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck  but return it to the hand during the End Phase.",7,1800,2500,Fiend,DARK,Abyss Actor
51028231,Abyss Actor - Sassy Rookie,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect  you can destroy this card instead. [ Monster Effect ]  The first time this card would be destroyed by battle or card effect each turn  it is not destroyed. If this card is destroyed by battle  or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck  except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",4,1700,1000,Fiend,DARK,Abyss Actor
47404795,Abyss Actor - Super Producer,Link Monster,link,"2 monsters  including a Fiend monster  During the Main Phase (Quick Effect): You can target 1 face-up card you control; destroy it  then you can apply 1 of these effects.  ● Place 1 ""Abyss Playhouse - Fantastic Theater"" from your Deck  face-up in your Field Zone.  ● Place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone.  You can only use this effect of ""Abyss Actor - Super Producer"" once per turn.",,1600,,Fiend,DARK,Abyss Actor
25629622,Abyss Actor - Superstar,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn: You can Tribute 1 ""Abyss Actor"" monster  then target 1 ""Abyss Script"" Spell in your GY; add it to your hand. [ Monster Effect ]  When Normal or Special Summoned  your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck  but it is sent to the GY during the End Phase.",7,2500,1800,Fiend,DARK,Abyss Actor
39024589,Abyss Actor - Trendy Understudy,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand. [ Monster Effect ]  If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",2,700,700,Fiend,DARK,Abyss Actor
7279373,Abyss Actor - Twinkle Little Star,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  You cannot Pendulum Summon monsters  except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn  it can make up to 3 attacks on monsters during each Battle Phase  also other monsters you control cannot attack for the rest of this turn (even if this card leaves the field). [ Monster Effect ]  Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.",4,1000,1000,Fiend,DARK,Abyss Actor
51391183,Abyss Actor - Wild Hope,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn  also you cannot Special Summon monsters for the rest of this turn  except ""Abyss Actor"" monsters (even if this card leaves the field). [ Monster Effect ]  Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names  until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand  except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",4,1600,1200,Fiend,DARK,Abyss Actor
59057953,Abyss Actors Back Stage,Trap Card,trap,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",,,,Normal,,Abyss Actor
4682617,Abyss Actors' Curtain Call,Trap Card,trap,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand  up to the number of ""Abyss Script"" Spells in your GY. Then  you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names  up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn  except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",,,,Normal,,Abyss Actor
6004133,Abyss Actors' Dress Rehearsal,Spell Card,spell,"At the start of your Main Phase 1: Add 1 ""Abyss Actor"" card and 1 ""Abyss Script"" Spell from your Deck to your hand. For the rest of this turn after this card resolves  you cannot Pendulum Summon monsters  except ""Abyss Actor"" monsters.",,,,Normal,,Abyss Actor
21044178,Abyss Dweller,XYZ Monster,xyz,2 Level 4 monsters While this card has a material attached that was originally WATER  all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.,4,1700,1400,Sea Serpent,WATER,
40387124,Abyss Flower,Normal Monster,normal,A rarely seen flower that blossoms quietly on the edge of darkness.,2,750,400,Plant,EARTH,
82184400,Abyss Keeper,Link Monster,link,"2 WATER monsters  Cannot be used as Link Material the turn it is Link Summoned. If this card is Link Summoned: You can Special Summon 1 Fish monster from your hand to your zone this card points to. You can target 1 other Fish monster you control and 1 card your opponent controls; banish those cards. You can only use each effect of ""Abyss Keeper"" once per turn.",,1500,,Fish,WATER,
77297908,Abyss Playhouse - Fantastic Theater,Spell Card,spell,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand  with a different name than that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster  any monster effect activated by your opponent becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn.",,,,Field,,Abyss Actor
86578200,Abyss Prop - Wild Wagon,Spell Card,spell,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn  it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect  and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand.",,,,Continuous,,Abyss Actor
70564929,Abyss Script - Abysstainment,Spell Card,spell,"You can Tribute 1 ""Abyss Actor"" monster  then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect  and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck.",,,,Continuous,,Abyss Actor
